id,title,source,last_modified,corpus_path,source_path,corpus,source_family,document_type,audience,archived,bytes,video_source
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008pe-jan,"T4008-PE Payroll Deductions Supplementary Tables - Prince Edward Island - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008pe-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008pe-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008pe-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,4008,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008pe-jan-t4008pe-january-general-information,Payroll Deductions Supplementary Tables - Prince Edward Island,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008pe-jan/t4008pe-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008pe-jan/t4008pe-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008pe-jan/t4008pe-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,9017,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008qc-jan,"T4008-QC Payroll Deductions Supplementary Tables - Quebec - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008qc-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008qc-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008qc-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,2748,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008qc-jan-t4008qc-january-general-information,Payroll Deductions Supplementary Tables - Quebec,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008qc-jan/t4008qc-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008qc-jan/t4008qc-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008qc-jan/t4008qc-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,7745,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008sk-jan,"T4008-SK Payroll Deductions Supplementary Tables - Saskatchewan - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008sk-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008sk-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008sk-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3979,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008sk-jan-t4008sk-january-general-information,Payroll Deductions Supplementary Tables - Saskatchewan,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008sk-jan/t4008sk-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008sk-jan/t4008sk-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008sk-jan/t4008sk-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,9150,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008yt-jan,"T4008-YT Payroll Deductions Supplementary Tables - Yukon - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008yt-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008yt-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008yt-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3950,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008yt-jan-t4008yt-january-general-information,Payroll Deductions Supplementary Tables - Yukon,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008yt-jan/t4008yt-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008yt-jan/t4008yt-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008yt-jan/t4008yt-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,8797,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032ab-jan,"T4032AB Payroll Deductions Tables - CPP, EI, and income tax deductions - Alberta - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ab-jan.html,2025-12-29,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ab-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032ab-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3383,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032ab-jan-t4032ab-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - Alberta",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ab-jan/t4032ab-january-general-information.html,2025-12-17,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ab-jan/t4032ab-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032ab-jan/t4032ab-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,34246,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032bc-jan,"T4032BC Payroll Deductions Tables - CPP, EI, and income tax deductions - British Columbia - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032bc-jan.html,2025-12-29,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032bc-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032bc-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3418,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032bc-jan-t4032bc-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - British Columbia",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032bc-jan/t4032bc-january-general-information.html,2026-01-09,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032bc-jan/t4032bc-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032bc-jan/t4032bc-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,36101,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032mb-jan,"T4032MB Payroll Deductions Tables - CPP, EI, and income tax deductions - Manitoba - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032mb-jan.html,2025-12-29,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032mb-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032mb-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3386,
